ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0000_121-127105-0031,Spk1,1.867,2.971,2.491,0.476,0.838,0.781,3.224,9.936,9.838,3.267,10.569,10.474,2.426,3.286,3.481,0.987,0.982,7.143,3.571
1089-134686-0000_260-123440-0016,Spk1,1.982,2.887,2.695,0.588,0.885,0.864,5.42,11.351,11.299,5.493,12.447,12.389,2.202,3.444,3.393,0.993,0.992,0.0,0.0
1089-134686-0000_61-70968-0047,Spk1,1.582,2.368,2.3,0.38,0.858,0.842,0.029,11.242,11.23,0.221,12.428,12.418,1.916,3.128,3.427,0.983,0.974,0.0,0.0
1089-134686-0004_1284-1180-0027,Spk2,1.288,2.67,2.604,0.38,0.861,0.837,-1.274,11.42,11.392,-1.019,14.543,14.508,1.94,3.135,3.543,0.973,0.978,0.0,0.0
1089-134686-0004_8463-294828-0016,Spk1,1.413,3.104,2.854,0.426,0.859,0.875,-1.97,15.298,15.292,-1.873,16.349,16.345,2.057,2.968,3.301,0.943,0.962,0.0,0.0
1089-134686-0006_4446-2271-0018,Spk1,1.728,3.027,2.755,0.544,0.886,0.858,0.994,10.478,10.424,1.038,11.537,11.469,2.197,3.349,3.361,0.968,0.969,0.0,0.0
1089-134686-0007_1995-1836-0000,Spk1,1.531,2.512,2.428,0.264,0.763,0.728,-1.444,11.326,11.314,-1.31,12.334,12.319,1.765,3.008,3.28,0.975,0.97,0.0,0.0
1089-134686-0007_7021-85628-0018,Spk1,1.509,2.576,2.259,0.381,0.797,0.763,-1.45,9.614,9.575,-1.365,10.271,10.228,2.072,3.223,3.435,0.986,0.981,0.0,0.0
1089-134686-0007_8455-210777-0052,Spk1,1.617,2.795,2.45,0.378,0.782,0.741,1.471,12.306,12.292,1.614,13.459,13.445,1.665,3.156,3.564,0.969,0.966,0.0,0.0
1089-134686-0008_672-122797-0007,Spk1,1.471,2.548,2.451,0.432,0.8,0.778,-0.557,9.873,9.836,-0.47,10.544,10.504,2.117,3.03,3.29,0.982,0.972,0.0,0.0
1089-134686-0008_8230-279154-0012,Spk1,1.72,3.292,2.567,0.553,0.883,0.81,-0.118,13.017,12.832,0.092,13.965,13.79,2.42,3.024,3.508,0.986,0.972,22.222,11.111
1089-134686-0011_1320-122612-0004,Spk1,1.576,3.262,2.625,0.406,0.817,0.787,-5.817,12.972,12.882,-5.547,13.679,13.587,2.873,3.151,3.558,0.98,0.971,0.0,0.0
1089-134686-0011_1320-122612-0004,Spk2,1.553,2.934,2.349,0.607,0.903,0.815,4.518,12.079,11.969,4.575,14.698,14.526,2.873,3.217,3.437,0.988,0.986,0.0,0.0
1089-134686-0013_3570-5695-0000,Spk1,1.685,2.868,2.715,0.371,0.795,0.781,-2.201,11.912,11.892,-1.925,12.708,12.683,2.153,3.343,3.391,0.975,0.964,7.143,7.143
1089-134686-0013_7127-75946-0007,Spk1,1.776,2.969,2.645,0.557,0.791,0.763,2.419,10.525,10.514,2.539,11.165,11.153,2.143,3.225,3.368,0.977,0.973,7.143,7.143
1089-134686-0015_5142-33396-0067,Spk1,1.85,3.01,2.659,0.496,0.808,0.774,1.947,12.447,12.4,2.015,13.144,13.1,2.328,3.4,3.297,0.965,0.966,0.0,7.143
1089-134686-0017_1580-141084-0045,Spk2,1.287,2.998,2.481,0.358,0.855,0.837,-4.008,11.617,11.482,-3.653,13.186,13.029,2.276,3.256,3.513,0.981,0.983,0.0,0.0
1089-134686-0019_5142-33396-0021,Spk1,1.949,3.29,3.03,0.464,0.797,0.781,4.291,13.773,13.677,4.369,14.949,14.843,1.579,3.43,3.253,0.979,0.976,0.0,0.0
1089-134686-0022_1580-141083-0044,Spk2,1.472,2.762,2.369,0.412,0.787,0.711,-2.603,9.625,9.449,-2.424,10.977,10.807,1.641,2.868,3.559,0.968,0.963,0.0,0.0
1089-134686-0022_8455-210777-0023,Spk2,1.575,2.898,2.605,0.502,0.87,0.857,-1.883,10.161,10.145,-1.779,13.2,13.18,2.115,2.997,3.539,0.977,0.978,7.143,7.143
1089-134686-0024_7176-92135-0042,Spk2,1.584,2.645,2.443,0.562,0.819,0.791,5.092,11.683,11.661,5.134,13.838,13.797,1.91,3.026,3.692,0.98,0.968,4.545,4.545
1089-134686-0028_6829-68771-0025,Spk1,1.584,3.278,2.767,0.472,0.895,0.849,1.242,14.952,14.771,1.281,15.746,15.553,2.125,3.239,3.455,0.986,0.98,0.0,0.0
1089-134686-0028_8224-274384-0005,Spk1,1.544,2.965,2.884,0.427,0.849,0.79,-3.115,12.605,12.485,-2.929,13.194,13.08,2.357,3.082,3.52,0.983,0.98,11.111,5.556
1089-134686-0031_1320-122612-0008,Spk1,1.987,2.802,2.385,0.551,0.848,0.808,2.575,11.706,11.593,2.647,12.556,12.446,2.007,3.35,3.526,0.988,0.98,0.0,0.0
1089-134686-0031_1320-122612-0008,Spk2,1.427,2.61,2.169,0.412,0.813,0.734,-4.266,10.731,10.674,-4.084,12.914,12.84,2.007,3.287,3.658,0.978,0.967,9.524,4.762
1089-134686-0031_61-70968-0026,Spk2,1.666,2.758,2.357,0.478,0.842,0.827,0.225,12.313,12.272,0.33,13.751,13.719,1.866,3.169,3.464,0.956,0.96,9.524,0.0
1089-134686-0033_1320-122612-0001,Spk2,1.547,2.683,2.221,0.559,0.858,0.805,3.517,12.106,12.003,3.584,15.393,15.216,2.634,3.025,3.363,0.976,0.972,0.0,9.091
1089-134686-0034_8463-294828-0036,Spk1,1.552,2.631,2.32,0.36,0.815,0.771,-4.577,11.782,11.526,-4.345,12.72,12.462,2.201,3.032,3.731,0.961,0.97,0.0,0.0
1089-134686-0037_4446-2271-0000,Spk1,2.048,3.058,2.596,0.482,0.796,0.76,2.244,13.68,13.635,2.462,14.789,14.733,2.422,3.173,3.294,0.95,0.964,0.0,11.111
1089-134691-0001_1320-122617-0013,Spk1,1.592,2.715,2.214,0.225,0.662,0.594,-4.646,10.966,10.888,-4.369,11.549,11.471,2.41,3.434,3.571,0.965,0.951,11.765,11.765
1089-134691-0002_8455-210777-0005,Spk1,1.76,2.547,2.413,0.407,0.79,0.785,0.52,9.475,9.481,0.684,10.663,10.669,1.884,3.322,3.538,0.956,0.965,6.667,6.667
1089-134691-0005_908-157963-0011,Spk1,1.537,2.697,2.175,0.341,0.696,0.609,-4.163,10.273,10.173,-4.038,10.981,10.869,1.876,3.451,3.549,0.962,0.953,0.0,7.692
1089-134691-0006_4446-2275-0012,Spk1,1.487,2.443,2.126,0.397,0.771,0.75,0.271,10.541,10.496,0.359,11.465,11.413,2.085,3.365,3.497,0.981,0.982,0.0,0.0
1089-134691-0006_4446-2275-0026,Spk1,1.421,2.822,2.396,0.372,0.807,0.786,-0.926,10.973,10.907,-0.775,12.035,11.954,2.316,3.343,3.442,0.983,0.98,0.0,0.0
1089-134691-0012_1320-122612-0015,Spk1,1.706,3.107,2.712,0.441,0.863,0.841,-2.349,10.984,10.881,-2.309,12.026,11.919,2.206,3.335,3.422,0.983,0.982,4.348,0.0
1089-134691-0012_1320-122612-0015,Spk2,1.515,2.901,2.835,0.45,0.838,0.829,0.996,10.353,10.312,1.08,12.055,12.016,2.206,3.259,3.448,0.975,0.975,5.0,5.0
1089-134691-0013_4992-23283-0007,Spk1,1.532,3.319,2.751,0.406,0.872,0.845,-3.687,12.91,12.809,-3.411,14.474,14.35,2.687,3.106,3.38,0.97,0.973,11.111,0.0
1089-134691-0013_4992-23283-0007,Spk2,1.423,2.991,2.893,0.555,0.891,0.858,1.577,10.442,10.416,1.702,15.408,15.335,2.687,3.108,3.312,0.978,0.978,0.0,0.0
